scenario_id,planner_id,trials,success_rate,collision_rate,timeout_rate,avg_path_length,avg_planning_time_ms,avg_replans,avg_episode_steps,avg_dynamic_blocks,avg_interdiction_hit_rate,avg_guardrail_activation_rate,avg_building_violation_count,avg_nfz_violation_count,avg_risk_exposure_integral,avg_path_optimality,avg_path_smoothness,deterministic,seed_base,oracle_planner
gov_civil_protection_hard,aggressive_replan,1,0.0,0.0,1.0,,384.74,1729.0,2000.0,1616.0,1.0,0.7315,0.0,0.0,281.873663,4.9689,0.7925,True,0,oracle
gov_civil_protection_hard,astar,3,0.3333,0.0,0.6667,284.0,357.7633,1533.0,1931.0,650.0,1.0,0.0777,0.0,0.0,292.556426,2.8655,0.6524,True,0,oracle
gov_civil_protection_hard,grid_mppi,1,0.0,0.0,1.0,,442.79,1464.0,2000.0,490.0,1.0,0.058,0.0,0.0,239.525092,2.5078,0.6845,True,0,oracle
gov_civil_protection_hard,incremental_dstar_lite,1,0.0,0.0,1.0,,1870.2,1604.0,2000.0,79.0,1.0,0.0995,0.0,0.0,159.970157,12.3077,0.3968,True,0,oracle
gov_civil_protection_hard,periodic_replan,3,0.0,0.0,1.0,,351.37,1766.3,2000.0,625.3,1.0,0.0472,0.0,0.0,307.371427,4.5791,0.7954,True,0,oracle
gov_civil_protection_hard,theta_star,1,0.0,0.0,1.0,,28.17,1877.0,2000.0,410.0,1.0,0.161,0.0,0.0,451.724945,9.4118,0.1566,True,0,oracle
gov_civil_protection_medium,aggressive_replan,1,0.0,0.0,1.0,,345.1,800.0,1151.0,297.0,1.0,0.0599,0.0,0.0,195.83158,1.3245,0.7641,True,0,oracle
gov_civil_protection_medium,astar,3,0.3333,0.0,0.6667,483.0,353.09,740.7,1757.0,389.0,1.0,0.0386,0.0,0.0,62.329379,2.7686,0.7181,True,0,oracle
gov_civil_protection_medium,grid_mppi,1,0.0,0.0,1.0,,409.92,913.0,2000.0,906.0,1.0,0.0635,0.0,0.0,257.613025,2.168,0.6213,True,0,oracle
gov_civil_protection_medium,incremental_dstar_lite,1,0.0,0.0,1.0,,1904.75,1152.0,2000.0,102.0,1.0,0.0875,0.0,0.0,122.712679,2.3669,0.4554,True,0,oracle
gov_civil_protection_medium,periodic_replan,3,0.3333,0.0,0.6667,414.0,346.9567,1328.3,1783.0,145.0,1.0,0.0616,0.0,0.0,153.561978,3.5551,0.6513,True,0,oracle
gov_civil_protection_medium,theta_star,1,1.0,0.0,0.0,317.0,28.54,1395.0,1743.0,43.0,1.0,0.1245,0.0,0.0,207.915016,2.5237,0.3206,True,0,oracle
gov_critical_infrastructure_hard,aggressive_replan,1,1.0,0.0,0.0,158.0,74.91,831.0,1564.0,0.0,1.0,0.4872,0.0,0.0,0.00045,5.0633,0.3397,True,0,oracle
gov_critical_infrastructure_hard,astar,3,0.3333,0.6667,0.0,119.0,74.3467,270.0,464.0,0.0,0.3333,0.126,0.0,0.0,9.199607,52.3834,0.7835,True,0,oracle
gov_critical_infrastructure_hard,grid_mppi,1,1.0,0.0,0.0,155.0,130.74,853.0,1678.0,0.0,1.0,0.4195,0.0,0.0,5e-06,5.1613,0.3725,True,0,oracle
gov_critical_infrastructure_hard,incremental_dstar_lite,1,0.0,1.0,0.0,,510.91,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1.0,True,0,oracle
gov_critical_infrastructure_hard,periodic_replan,3,0.3333,0.6667,0.0,101.0,74.3967,469.3,837.0,1.0,1.0,0.4846,0.0,0.0,0.013285,43.4566,0.491,True,0,oracle
gov_critical_infrastructure_hard,theta_star,1,0.0,1.0,0.0,,24.27,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1.0,True,0,oracle
gov_critical_infrastructure_medium,aggressive_replan,1,0.0,0.0,1.0,,74.98,1949.0,2000.0,186.0,1.0,0.158,0.0,0.0,263.14998,22.8571,0.4848,True,0,oracle
gov_critical_infrastructure_medium,astar,3,0.0,1.0,0.0,,74.6233,288.7,527.0,0.0,1.0,0.4858,0.0,0.0,4.5e-05,12.1101,0.4367,True,0,oracle
gov_critical_infrastructure_medium,grid_mppi,1,0.0,1.0,0.0,,130.95,105.0,141.0,0.0,1.0,0.695,0.0,0.0,3.1e-05,61.5385,0.8182,True,0,oracle
gov_critical_infrastructure_medium,incremental_dstar_lite,1,0.0,0.0,1.0,,510.24,1849.0,2000.0,0.0,1.0,0.149,0.0,0.0,0.0,17.3913,0.4773,True,0,oracle
gov_critical_infrastructure_medium,periodic_replan,3,0.0,0.6667,0.3333,,74.2967,875.7,1112.0,0.0,1.0,0.6036,0.0,0.0,2e-06,7.2769,0.4384,True,0,oracle
gov_critical_infrastructure_medium,theta_star,1,0.0,0.0,1.0,,24.04,1001.0,2000.0,0.0,1.0,0.4095,0.0,0.0,5e-06,1.9512,0.3039,True,0,oracle
gov_maritime_domain_hard,aggressive_replan,1,0.0,0.0,1.0,,53.76,1728.0,2000.0,1636.0,1.0,0.805,0.0,0.0,0.0,3.9118,0.63,True,0,oracle
gov_maritime_domain_hard,astar,3,0.0,0.0,1.0,,52.48,1861.7,2000.0,1760.3,1.0,0.0622,0.0,0.0,0.003397,4.8172,0.531,True,0,oracle
gov_maritime_domain_hard,grid_mppi,1,0.0,0.0,1.0,,106.04,1786.0,2000.0,1712.0,1.0,0.009,0.0,0.0,0.0,4.2903,0.8571,True,0,oracle
gov_maritime_domain_hard,incremental_dstar_lite,1,0.0,0.0,1.0,,108.17,1087.0,2000.0,720.0,1.0,0.3325,0.0,0.0,0.028524,3.3529,0.3162,True,0,oracle
gov_maritime_domain_hard,periodic_replan,1,0.0,1.0,0.0,,52.43,268.0,704.0,253.0,1.0,0.0341,0.0,0.0,0.205063,2.2931,0.686,True,0,oracle
gov_maritime_domain_hard,theta_star,1,0.0,0.0,1.0,,1305.3,122.0,2000.0,1395.0,1.0,0.0045,0.0,0.0,0.0,2.2291,0.9209,True,0,oracle
gov_maritime_domain_medium,aggressive_replan,1,0.0,1.0,0.0,,51.92,80.0,243.0,0.0,1.0,0.0494,0.0,0.0,2.4e-05,6.1385,0.5556,True,0,oracle
gov_maritime_domain_medium,astar,1,0.0,0.0,1.0,,52.42,1872.0,2000.0,1815.0,1.0,0.0,0.0,0.0,0.0,1.7973,0.8773,True,0,oracle
gov_maritime_domain_medium,grid_mppi,1,0.0,0.0,1.0,,105.63,1898.0,2000.0,1855.0,1.0,0.0035,0.0,0.0,0.0,2.1923,0.8944,True,0,oracle
gov_maritime_domain_medium,incremental_dstar_lite,1,0.0,1.0,0.0,,107.04,143.0,478.0,0.0,1.0,0.0,0.0,0.0,0.0,2.4329,0.537,True,0,oracle
gov_maritime_domain_medium,periodic_replan,1,0.0,1.0,0.0,,53.03,141.0,361.0,0.0,1.0,0.1662,0.0,0.0,0.0,4.0303,0.5155,True,0,oracle
gov_maritime_domain_medium,theta_star,1,0.0,0.0,1.0,,1317.42,,2000.0,1869.0,1.0,0.0,0.0,0.0,0.016515,3.0227,0.9923,True,0,oracle
